Date,Open,High,Low,Close,Volume,Market Cap
10/3/2021,3387.77,3488,3342.51,3417.73,360586.8905,360586.8905
10/4/2021,3417.73,3437.19,3270,3386.31,485204.642,485204.642
10/5/2021,3386.31,3545,3363.78,3515.27,393900.8818,393900.8818
10/6/2021,3515.48,3632.11,3342,3574.89,618265.5402,618265.5402
10/7/2021,3574.88,3653.98,3470.8,3587.47,486102.3591,486102.3591
10/8/2021,3587.47,3695,3532,3563.13,403597.1437,403597.1437
10/9/2021,3563.13,3635,3538.07,3574.82,361906.7514,361906.7514
10/10/2021,3574.83,3604,3405,3414.22,580223.6302,580223.6302
10/11/2021,3414.22,3623.8,3371,3542.12,493521.882,493521.882
10/12/2021,3542.12,3547.11,3403.21,3491.46,409377.1918,409377.1918
10/13/2021,3491.43,3613,3412.7,3607.42,393463.1222,393463.1222
10/14/2021,3607.41,3824,3586.04,3790.82,481894.1473,481894.1473
10/15/2021,3790.82,3907.77,3734.1,3868.99,504321.732,504321.732
10/16/2021,3868.38,3971,3803.56,3829.96,373727.8549,373727.8549
10/17/2021,3829.96,3919.19,3640,3846.85,368898.9831,368898.9831
10/18/2021,3847,3893.14,3676,3744.96,401819.9734,401819.9734
10/19/2021,3744.96,3886.89,3732,3877.03,341268.3723,341268.3723
10/20/2021,3876.98,4169,3828.05,4161.15,537383.0973,537383.0973
10/21/2021,4161.37,4375,4013.13,4052.99,798566.5581,798566.5581
10/22/2021,4053,4167.41,3888,3972.2,463222.5428,463222.5428
10/23/2021,3972.19,4172,3937.51,4167.12,326576.9601,326576.9601
10/24/2021,4167.13,4186.57,3961.5,4082.33,350115.8386,350115.8386
10/25/2021,4082.33,4236,4067.71,4220.37,347438.6534,347438.6534
10/26/2021,4220.36,4297,4090.21,4131.52,414498.1599,414498.1599
10/27/2021,4131.52,4307,3909,3922,704604.25,704604.25
10/28/2021,3921.99,4295,3890.17,4286.02,626378.5055,626378.5055
10/29/2021,4286.01,4460.47,4265.97,4418.89,559231.0769,559231.0769
10/30/2021,4418.89,4434.06,4232.2,4322.68,340223.069,340223.069
10/31/2021,4322.68,4399.14,4164.35,4287.21,412856.2893,412856.2893
11/1/2021,4287.48,4386.58,4146.3,4319.43,417620.7073,417620.7073
11/2/2021,4319.43,4599.6,4284.43,4589.89,468184.793,468184.793
11/3/2021,4589.68,4665.87,4455,4603.35,448658.3513,448658.3513
11/4/2021,4603.35,4606.65,4420.08,4532.32,368218.257,368218.257
11/5/2021,4532.31,4570.05,4438.8,4474.24,305651.7244,305651.7244
11/6/2021,4474.24,4530,4326.17,4518,322154.0973,322154.0973
11/7/2021,4518,4637.98,4502.37,4612.59,243596.5952,243596.5952
11/8/2021,4612.59,4822.97,4612,4807.98,391102.3181,391102.3181
11/9/2021,4807.98,4838.28,4713.89,4732.33,311267.58,311267.58
11/10/2021,4732.33,4868,4461.93,4628.78,553596.9916,553596.9916
11/11/2021,4628.68,4779,4576.47,4719,303688.9765,303688.9765
11/12/2021,4719,4809.71,4507.85,4665.46,461580.0415,461580.0415
11/13/2021,4665.47,4707.6,4584.08,4644.28,220720.6611,220720.6611
11/14/2021,4644.27,4696.05,4514.12,4626.5,245309.0674,245309.0674
11/15/2021,4626.5,4772.01,4540,4563.78,375421.6601,375421.6601
11/16/2021,4563.77,4563.77,4103,4209.76,735857.063,735857.063
11/17/2021,4209.59,4299.91,4063.48,4287.8,472852.1842,472852.1842
11/18/2021,4288.07,4344.81,3956.44,3996.9,576945.1837,576945.1837
11/19/2021,3996.9,4308.97,3973.01,4294.76,420045.0897,420045.0897
11/20/2021,4294.75,4435.88,4199.86,4412.17,365584.578,365584.578
11/21/2021,4412.17,4451,4242.41,4258.31,340206.3203,340206.3203
11/22/2021,4259.7,4320,4022.74,4085.97,518501.3338,518501.3338
11/23/2021,4086.28,4385.59,4059.62,4339.44,502811.7902,502811.7902
11/24/2021,4339.45,4373.94,4167.65,4269.36,448727.0306,448727.0306
11/25/2021,4270.1,4550,4248.27,4524.85,445868.2434,445868.2434
11/26/2021,4524.48,4551,3913,4041.2,720245.1612,720245.1612
11/27/2021,4041.2,4183.66,4028.34,4095.29,275326.5202,275326.5202
11/28/2021,4095.29,4298.51,3964,4294.78,346471.3551,346471.3551
11/29/2021,4294.77,4458.92,4276.89,4444.53,406881.2284,406881.2284
11/30/2021,4444.54,4753,4346.36,4630.26,743024.4662,743024.4662
12/1/2021,4630.25,4778.75,4523.99,4582.95,508198.3105,508198.3105
12/2/2021,4582.95,4634.83,4433,4511.21,451861.9545,451861.9545
12/3/2021,4511.35,4654.88,4032.5,4215.73,677974.8659,677974.8659
12/4/2021,4215.01,4238.59,3503.68,4117.25,1111773.145,1111773.145
12/5/2021,4117.25,4248.19,4031.39,4196.44,536325.4413,536325.4413
12/6/2021,4196.44,4376.15,3921,4347.59,726742.9638,726742.9638
12/7/2021,4347.57,4425,4255.92,4306.4,420749.751,420749.751
12/8/2021,4306.4,4450.49,4222.95,4436.91,429403.9351,429403.9351
12/9/2021,4436.91,4488,4076.16,4105.64,462173.711,462173.711
12/10/2021,4105.64,4231.08,3887.37,3897.94,563236.5671,563236.5671
12/11/2021,3898.31,4097.08,3828.22,4089.37,427853.4343,427853.4343
12/12/2021,4089.68,4173.63,3986.25,4130,260535.5157,260535.5157
12/13/2021,4130,4142.75,3671.45,3781.93,533467.2307,533467.2307
12/14/2021,3781.92,3882.74,3685,3858.99,395145.7462,395145.7462
12/15/2021,3858.99,4092.22,3643.73,4019.08,542068.0573,542068.0573
12/16/2021,4019.54,4113.43,3942.11,3958.11,368780.031,368780.031
12/17/2021,3959.11,3994.1,3700,3875.42,463370.9225,463370.9225
12/18/2021,3875.43,3996.93,3767.01,3959.93,339593.2543,339593.2543
12/19/2021,3959.93,4032.43,3884,3924.14,306006.323,306006.323
12/20/2021,3924.14,3983.37,3753,3944.73,366916.4771,366916.4771
12/21/2021,3944.72,4063,3913.21,4014.15,340826.3553,340826.3553
12/22/2021,4014.41,4074.87,3933.4,3979.51,303191.8076,303191.8076
12/23/2021,3979.51,4150,3893.23,4111.41,380207.8166,380207.8166
12/24/2021,4111.41,4134.84,4017.17,4046.36,230833.1661,230833.1661
12/25/2021,4046.35,4137.91,4018.62,4094.83,208126.8805,208126.8805
12/26/2021,4094.36,4105,4000,4063.56,189309.255,189309.255
12/27/2021,4063.57,4127.46,4031,4037.23,222225.3761,222225.3761
12/28/2021,4037.22,4037.23,3759.36,3792.75,358064.7163,358064.7163
12/29/2021,3792.75,3827.78,3604.2,3630.19,302753.6375,302753.6375
12/30/2021,3630.18,3769.1,3585,3709.27,249263.7305,249263.7305
12/31/2021,3709.27,3815,3622.29,3676.23,268014.2942,268014.2942
1/1/2022,3676.22,3776.45,3673.46,3765.54,154143.8968,154143.8968
1/2/2022,3765.54,3857.44,3717.3,3828.27,154791.4263,154791.4263
1/3/2022,3828.11,3853.09,3680,3765.89,236245.8586,236245.8586
1/4/2022,3765.89,3900.73,3713.11,3785.11,288258.5549,288258.5549
1/5/2022,3785.1,3848,3415,3540.63,397942.0363,397942.0363
1/6/2022,3539.82,3550.43,3300,3406.81,496745.7413,496745.7413
1/7/2022,3406.81,3416.76,3064.42,3199.24,669631.7262,669631.7262
1/8/2022,3198.68,3250,3000,3080.95,400692.1061,400692.1061
1/9/2022,3080.98,3211.72,3057.35,3151.97,275874.1643,275874.1643
1/10/2022,3151.97,3185,2928.83,3082.68,529818.3866,529818.3866
1/11/2022,3082.87,3263.54,3051.8,3239.72,362446.7087,362446.7087
1/12/2022,3239.73,3411.43,3206.2,3371.26,370465.8015,370465.8015
1/13/2022,3371.6,3410,3233.43,3240.61,336234.8799,336234.8799
1/14/2022,3240.61,3342.79,3188,3307.42,285326.3505,285326.3505
1/15/2022,3307.42,3371.64,3261,3326.04,203100.3778,203100.3778
1/16/2022,3326.51,3393.6,3269.62,3346.88,210782.2277,210782.2277
1/17/2022,3346.89,3357.57,3141.1,3209.67,284063.6548,284063.6548
1/18/2022,3209.68,3243.87,3082,3159.85,299134.2728,299134.2728
1/19/2022,3159.85,3174.87,3000,3084.02,332996.5703,332996.5703
1/20/2022,3084.02,3273.37,2987.15,3001.48,357596.7062,357596.7062
1/21/2022,3001.48,3034.12,2403,2568.15,1022021.7,1022021.7
1/22/2022,2567.47,2626,2300,2412.18,1081357.549,1081357.549
1/23/2022,2412.18,2556.78,2370.8,2539.01,580497.7613,580497.7613
1/24/2022,2539,2539.75,2159,2439.29,1123134.704,1123134.704
1/25/2022,2439.56,2506.55,2348.96,2458.83,510152.954,510152.954
1/26/2022,2459.04,2722,2402.03,2462.99,806441.6229,806441.6229
1/27/2022,2463,2521,2316.43,2424.25,599481.7159,599481.7159
1/28/2022,2424.02,2558.98,2357.88,2544.99,485149.8065,485149.8065
1/29/2022,2544.99,2636.66,2520.01,2601.43,376666.8246,376666.8246
1/30/2022,2601.43,2640,2542.5,2601.68,290770.0859,290770.0859
1/31/2022,2601.67,2706.77,2476.07,2686.94,444584.851,444584.851
2/1/2022,2686.94,2813,2673.52,2787.23,390034.2736,390034.2736
2/2/2022,2787.48,2810.88,2612.72,2680.67,447852.1228,447852.1228
2/3/2022,2680.25,2726.64,2576.05,2695.46,405043.3931,405043.3931
2/4/2022,2695.21,2995,2671.4,2994.99,664002.9328,664002.9328
2/5/2022,2994.99,3060.47,2958.01,3012.65,356803.3071,356803.3071
2/6/2022,3012.64,3074.56,2950.21,3054.99,249394.5966,249394.5966
2/7/2022,3055,3186,2991.8,3139.77,455070.2529,455070.2529
2/8/2022,3139.77,3232.87,3025.21,3116.69,514773.5837,514773.5837
2/9/2022,3116.69,3269.7,3055,3243.94,370267.8913,370267.8913
2/10/2022,3243.6,3283.66,3056.74,3072.49,578212.8383,578212.8383
2/11/2022,3072.36,3138.62,2879,2927.54,462025.8751,462025.8751
2/12/2022,2927.54,2985.98,2858.3,2918.88,336250.3131,336250.3131
2/13/2022,2918.58,2954.4,2836.7,2871.13,242751.3547,242751.3547
2/14/2022,2871.14,2964.97,2829.01,2929.75,381778.238,381778.238
